sample_id,location_id,location,time_id,group_id,allbirds_HP,dna_stringency_med,dna_or_hp,both_bird,same_bird
CBW-1/16-1,CB,Cape Bridgewater,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-10,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,0,1,0,0
CBW-1/16-11,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,0,1,0,0
CBW-1/16-12,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,1,1,1,0
CBW-1/16-13,CB,Cape Bridgewater,Jan_16,CB_Jan_16,0,1,1,0,0
CBW-1/16-14,CB,Cape Bridgewater,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-15,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,1,1,1,1
CBW-1/16-2,CB,Cape Bridgewater,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-3,CB,Cape Bridgewater,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-4,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,0,1,0,0
CBW-1/16-5,CB,Cape Bridgewater,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-6,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,0,1,0,0
CBW-1/16-7,CB,Cape Bridgewater,Jan_16,CB_Jan_16,0,1,1,0,0
CBW-1/16-8,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,0,1,0,0
CBW-1/16-9,CB,Cape Bridgewater,Jan_16,CB_Jan_16,1,1,1,1,1
CBW-1/17-1,CB,Cape Bridgewater,Jan_17,CB_Jan_17,1,0,1,0,0
CBW-1/17-10,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,1,1,0,0
CBW-1/17-11,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-12,CB,Cape Bridgewater,Jan_17,CB_Jan_17,1,1,1,1,1
CBW-1/17-13,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-14,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-2,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-3,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-4,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-5,CB,Cape Bridgewater,Jan_17,CB_Jan_17,1,1,1,1,0
CBW-1/17-6,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-7,CB,Cape Bridgewater,Jan_17,CB_Jan_17,0,0,0,0,0
