sample_id,location,location_id,time_id,group_id,SUM of cons_OTU_1 (Eudyptula minor),SUM of cons_OTU_2 (Procellariidae sp.1),SUM of cons_OTU_3 (Procellariidae sp.2),SUM of cons_OTU_4 (Thalassarche melanophris),SUM of cons_OTU_5 (Sterna bergii)
CBW-1/16-1,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-10,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-11,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-12,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-13,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,4,0,0
CBW-1/16-14,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-15,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-2,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-3,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-4,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-5,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-6,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-7,Cape Bridgewater,CB,Jan_16,CB_Jan_16,5520,0,0,0,0
CBW-1/16-8,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-9,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/17-1,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-10,Cape Bridgewater,CB,Jan_17,CB_Jan_17,159,0,0,0,0
CBW-1/17-11,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-12,Cape Bridgewater,CB,Jan_17,CB_Jan_17,12,0,0,0,0
CBW-1/17-13,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-14,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-2,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-3,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-4,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-5,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,4,0,0
CBW-1/17-6,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-7,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-8,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-9,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,2,0,0,0
CBW-9/15-1,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,3890,0,0
CBW-9/15-2,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-3,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-4,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,5,2,0,0
CBW-9/15-5,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,3302,0,0,0
CBW-9/15-6,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-7,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-8,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/16-1,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,4,3,0,0
CBW-9/16-10,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-11,Cape Bridgewater,CB,Sep_16,CB_Sep_16,2,0,0,0,0
CBW-9/16-12,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
