sample_id,location,location_id,time,time_id,group_id,SUM of haplo_1,SUM of haplo_2,SUM of haplo_3,SUM of haplo_4,SUM of haplo_5,SUM of haplo_6,SUM of haplo_7
CBW-1/16-7,Cape Bridgewater,CB,Jan-16,Jan_16,CB_Jan_16,58,5442,3,0,0,0,0
CBW-1/17-10,Cape Bridgewater,CB,Jan-17,Jan_17,CB_Jan_17,0,0,159,0,0,0,0
CBW-1/17-12,Cape Bridgewater,CB,Jan-17,Jan_17,CB_Jan_17,0,12,0,0,0,0,0
CBW-9/16-11,Cape Bridgewater,CB,Sep-16,Sep_16,CB_Sep_16,0,2,0,0,0,0,0
CBW-9/16-4,Cape Bridgewater,CB,Sep-16,Sep_16,CB_Sep_16,0,5,0,0,0,1,0
CBW-9/16-5,Cape Bridgewater,CB,Sep-16,Sep_16,CB_Sep_16,21,5320,10,6,408,469,0
CWB-1/17-17,Cape Bridgewater,CB,Jan-17,Jan_17,CB_Jan_17,0,2,0,14,0,0,0
MI-1/17-5,Montague Island,MI,Jan-17,Jan_17,MI_Jan_17,7,4382,2,0,0,0,0
MI-1/17-6,Montague Island,MI,Jan-17,Jan_17,MI_Jan_17,0,603,0,0,0,0,273
MI-1/17-8,Montague Island,MI,Jan-17,Jan_17,MI_Jan_17,0,205,0,0,0,0,0
